sample	Project ID
SX-5	1287932
SX-6	1287935
SX-16	1287956
SX-20	1287962
SX-23	1287968
SX-24	1287971
SX-33	1287992
SX-41	1287998
SX-45	1288004
SX-46	1288007
SX-56	1288028
SX-59	1288034
SX-65	1288046
SX-66	1288049
SX-73	1288064
SX-82	1288070
SX-85	1288076
SX-86	1288079
SX-96	1288100
SX-100	1288106
SX-104	1288115
SX-114	1288136
SX-118	1288142
SX-121	1288148
SX-122	1288151
SX-132	1288172
SX-139	1288184
SX-140	1288187
SX-156	1288214
SX-159	1288220
SX-160	1288223
SX-169	1288244
SX-174	1288250
SX-177	1288256
SX-178	1288259
